framework,version,N,elapsed_sec,bandwidth_gbs,status
omp_off,v1,117500000,0.010049,93.540671,ok
omp_off,v2,117500000,0.010263,183.182909,ok
omp_off,v4,117500000,0.010371,271.912855,ok
cuda,v1,117500000,0.010064,93.401065,ok
cuda,v2,117500000,0.023493,80.023661,ok
cuda,v4,117500000,0.011273,250.152006,ok
acc,v1,117500000,0.010007,93.935142,ok
acc,v2,117500000,0.011001,170.891845,ok
acc,v4,117500000,0.011107,253.894674,ok
omp_off,v1,217500000,0.018590,93.597642,ok
omp_off,v2,217500000,0.018828,184.831935,ok
omp_off,v4,217500000,0.018772,278.071872,ok
cuda,v1,217500000,0.018528,93.911995,ok
cuda,v2,217500000,0.019778,175.952961,ok
cuda,v4,217500000,0.025186,207.257491,ok
acc,v1,217500000,0.018532,93.891456,ok
acc,v2,217500000,0.019620,177.370558,ok
acc,v4,217500000,0.019820,263.370667,ok
omp_off,v1,318750000,0.027180,93.819135,ok
omp_off,v2,318750000,0.027509,185.394046,ok
omp_off,v4,318750000,0.028202,271.256810,ok
cuda,v1,318750000,0.027139,93.960899,ok
cuda,v2,318750000,0.028525,178.791314,ok
cuda,v4,318750000,0.036086,211.993086,ok
acc,v1,318750000,0.027124,94.012932,ok
acc,v2,318750000,0.028272,180.391044,ok
acc,v4,318750000,0.029840,256.367356,ok
omp_off,v1,418750000,0.035670,93.916346,ok
omp_off,v2,418750000,0.036112,185.533534,ok
omp_off,v4,418750000,0.037979,264.619044,ok
cuda,v1,418750000,0.035686,93.874306,ok
cuda,v2,418750000,0.052969,126.489129,ok
cuda,v4,418750000,0.039055,257.328689,ok
acc,v1,418750000,0.035645,93.982304,ok
acc,v2,418750000,0.036944,181.355995,ok
acc,v4,418750000,0.039019,257.566115,ok
omp_off,v1,520000000,0.044308,93.887844,ok
omp_off,v2,520000000,0.044824,185.615326,ok
omp_off,v4,520000000,0.046359,269.204414,ok
cuda,v1,520000000,0.044302,93.900981,ok
cuda,v2,520000000,0.051216,162.448837,ok
cuda,v4,520000000,0.048400,257.851638,ok
acc,v1,520000000,0.044252,94.007223,ok
acc,v2,520000000,0.045438,183.107405,ok
acc,v4,520000000,0.047576,262.317407,ok
omp_off,v1,1240000000,0.106225,93.386667,ok
omp_off,v2,1240000000,0.107079,185.283712,ok
omp_off,v4,1240000000,0.111183,267.666419,ok
cuda,v1,1240000000,0.106207,93.402600,ok
cuda,v2,1240000000,0.182891,108.479837,ok
cuda,v4,1240000000,0.113254,262.772013,ok
acc,v1,1240000000,0.106154,93.449171,ok
acc,v2,1240000000,0.110770,179.109888,ok
acc,v4,1240000000,0.114827,259.172680,ok
omp_off,v4_4,58750000,0.011308,498.753417,ok
cuda,v4_4,58750000,0.008456,666.963871,ok
acc,v4_4,58750000,0.006687,843.406823,ok
omp_off,v4_4,108750000,0.029144,358.220648,ok
cuda,v4_4,108750000,0.011410,914.987019,ok
acc,v4_4,108750000,0.011709,891.623745,ok
omp_off,v4_4,159375000,0.028846,530.402361,ok
cuda,v4_4,159375000,0.021359,716.326783,ok
acc,v4_4,159375000,0.016953,902.495587,ok
omp_off,v4_4,209375000,0.036260,554.331528,ok
cuda,v4_4,209375000,0.027364,734.547715,ok
acc,v4_4,209375000,0.024908,806.975241,ok
omp_off,v4_4,260000000,0.044832,556.745291,ok
cuda,v4_4,260000000,0.041995,594.355784,ok
acc,v4_4,260000000,0.030206,826.326852,ok
omp_off,v4_4,310000000,0.062519,476.016547,ok
cuda,v4_4,310000000,0.038585,771.285226,ok
acc,v4_4,310000000,0.037766,788.010802,ok
